Organism,Lineage
Prochlorococcus marinus (strain MIT 9303),"Prochlorococcus, Prochlorococcaceae, Synechococcales, Cyanobacteria, Cyanobacteria/Melainabacteria group, Terrabacteria group, Bacteria, cellular organisms"
Influenza A virus (strain A/Teal/China/2978.1/2002 H5N1 genotype W),"Alphainfluenzavirus, Orthomyxoviridae, Articulavirales, Insthoviricetes, Polyploviricotina, Negarnaviricota, Orthornavirae, Riboviria, Viruses"
Rhodospirillum rubrum (strain ATCC 11170 / ATH 1.1.1 / DSM 467 / LMG 4362 / NCIMB 8255 / S1),"Rhodospirillum, Rhodospirillaceae, Rhodospirillales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Rosa hybrid cultivar,"Rosa, Rosoideae incertae sedis, Rosoideae, Rosaceae, Rosales, fabids, rosids, Pentapetalae, Gunneridae, eudicotyledons, Mesangiospermae, Magnoliopsida, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Brucella ovis (strain ATCC 25840 / 63/290 / NCTC 10512),"Brucella, Brucella/Ochrobactrum group, Brucellaceae, Hyphomicrobiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Cornu aspersum,"Cornu, Cornu, Helicidae, Helicoidea, Helicina, Stylommatophora, Eupulmonata, Panpulmonata, Euthyneura, Heterobranchia, Gastropoda, Mollusca, Lophotrochozoa, Spiralia, Protostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Apis mellifera ligustica,"Apis mellifera, Apis, Apini, Apinae, Apidae, Apoidea, Aculeata, Apocrita, Hymenoptera, Endopterygota, Neoptera, Pterygota, Dicondylia, Insecta, Hexapoda, Pancrustacea, Mandibulata, Arthropoda, Panarthropoda, Ecdysozoa, Protostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Streptococcus pyogenes serotype M5 (strain Manfredo),"Streptococcus pyogenes serotype M5, Streptococcus pyogenes, Streptococcus, Streptococcaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Strawberry mild yellow edge-associated virus,NotFound
Rhizobium leguminosarum bv. viciae,"Rhizobium leguminosarum, Rhizobium, Rhizobium/Agrobacterium group, Rhizobiaceae, Hyphomicrobiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Turkey rhinotracheitis virus,"Avian metapneumovirus, Metapneumovirus, Pneumoviridae, Mononegavirales, Monjiviricetes, Haploviricotina, Negarnaviricota, Orthornavirae, Riboviria, Viruses"
Xanthomonas phage phiLf,"unclassified Inoviridae, Inoviridae, Tubulavirales, Faserviricetes, Hofneiviricota, Loebvirae, Monodnaviria, Viruses"
Leuconostoc gelidum subsp. gasicomitatum (strain DSM 15947 / CCUG 46042 / CECT 5767 / JCM 12535 / LMG 18811 / NBRC 113245 / TB1-10),"Leuconostoc gelidum, Leuconostoc, Lactobacillaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Lacticaseibacillus casei (strain BL23),"Lactobacillus casei, Lacticaseibacillus, Lactobacillaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Aeromonas hydrophila,"Aeromonas, Aeromonadaceae, Aeromonadales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Roseobacter denitrificans (strain ATCC 33942 / OCh 114),"Roseobacter, Roseobacteraceae, Rhodobacterales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Cuscuta gronovii,"Cuscuta sect. Oxycarpae, Cuscuta subgen. Grammica, Cuscuta, Cuscuteae, Convolvulaceae, Solanales, lamiids, asterids, Pentapetalae, Gunneridae, eudicotyledons, Mesangiospermae, Magnoliopsida, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Streptococcus pyogenes,"Streptococcus, Streptococcaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Penicillium expansum,"Penicillium, Aspergillaceae, Eurotiales, Eurotiomycetidae, Eurotiomycetes, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Grapevine leafroll-associated virus 3 (isolate United States/NY1),NotFound
Murid herpesvirus 1 (strain Smith),"Muromegalovirus, Betaherpesvirinae, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae, Duplodnaviria, Viruses"
Mesocricetus auratus,"Mesocricetus, Cricetinae, Cricetidae, Muroidea, Myomorpha, Rodentia, Glires, Euarchontoglires, Boreoeutheria, Eutheria, Theria, Mammalia, Amniota, Tetrapoda, Dipnotetrapodomorpha, Sarcopterygii, Euteleostomi, Teleostomi, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Fowlpox virus (strain NVSL),"Avipoxvirus, Chordopoxvirinae, Poxviridae, Chitovirales, Pokkesviricetes, Nucleocytoviricota, Bamfordvirae, Varidnaviria, Viruses"
Infectious salmon anemia virus (isolate Atlantic salmon/Norway/810/9/99),"Salmon isavirus, Isavirus, Orthomyxoviridae, Articulavirales, Insthoviricetes, Polyploviricotina, Negarnaviricota, Orthornavirae, Riboviria, Viruses"
Maricaulis maris (strain MCS10),"Maricaulis, Maricaulaceae, Maricaulales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337),"Cupriavidus necator, Cupriavidus, Burkholderiaceae, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Candida tropicalis (strain ATCC MYA-3404 / T1),"Candida, Candida/Lodderomyces clade, Debaryomycetaceae, Saccharomycetales, Saccharomycetes, Saccharomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Enterobacter sp. (strain 638),"unclassified Enterobacter, Enterobacter, Enterobacteriaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Bacillus subtilis,"Bacillus subtilis group, Bacillus, Bacillaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Plasmodium berghei (strain Anka),"Plasmodium (Vinckeia), Plasmodium, Plasmodiidae, Haemosporida, Aconoidasida, Apicomplexa, Alveolata, Sar, Eukaryota, cellular organisms"
Pelotomaculum thermopropionicum (strain DSM 13744 / JCM 10971 / SI),"Pelotomaculum, Peptococcaceae, Eubacteriales, Clostridia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Actinobacillus succinogenes (strain ATCC 55618 / DSM 22257 / CCUG 43843 / 130Z),"Actinobacillus, Pasteurellaceae, Pasteurellales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Corynebacterium diphtheriae (strain ATCC 700971 / NCTC 13129 / Biotype gravis),"Corynebacterium, Corynebacteriaceae, Corynebacteriales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms"
Pelodictyon phaeoclathratiforme (strain DSM 5477 / BU-1),"Pelodictyon, Chlorobium/Pelodictyon group, Chlorobiaceae, Chlorobiales, Chlorobia, Chlorobi, Bacteroidetes/Chlorobi group, FCB group, Bacteria, cellular organisms"
Synechococcus sp. (strain JA-2-3B'a(2-13)),"unclassified Synechococcus, Synechococcus, Synechococcaceae, Synechococcales, Cyanobacteria, Cyanobacteria/Melainabacteria group, Terrabacteria group, Bacteria, cellular organisms"
Salmonella typhimurium (strain SL1344),"Salmonella enterica I, Salmonella enterica, Salmonella, Enterobacteriaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Leptospira interrogans serogroup Icterohaemorrhagiae serovar Lai (strain 56601),"Leptospira interrogans serovar Lai, Leptospira interrogans, Leptospira, Leptospiraceae, Leptospirales, Spirochaetia, Spirochaetes, Bacteria, cellular organisms"
Petrotoga mobilis (strain DSM 10674 / SJ95),"Petrotoga, Petrotogaceae, Petrotogales, Thermotogae, Thermotogae, Bacteria, cellular organisms"
Klebsiella pneumoniae,"Klebsiella, Klebsiella/Raoultella group, Enterobacteriaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Ignicoccus hospitalis (strain KIN4/I / DSM 18386 / JCM 14125),"Ignicoccus, Desulfurococcaceae, Desulfurococcales, Thermoprotei, Crenarchaeota, TACK group, Archaea, cellular organisms"
Streptococcus agalactiae serotype III (strain NEM316),"Streptococcus agalactiae serogroup III, Streptococcus agalactiae, Streptococcus, Streptococcaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Schizophyllum commune,"Schizophyllum, Schizophyllaceae, Agaricales, Agaricomycetidae, Agaricomycetes, Agaricomycotina, Basidiomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Streptomyces davaonensis (strain DSM 101723 / JCM 4913 / KCC S-0913 / 768),"Streptomyces, Streptomycetaceae, Streptomycetales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms"
Caulobacter vibrioides (strain ATCC 19089 / CB15),"Caulobacter, Caulobacteraceae, Caulobacterales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Solidesulfovibrio magneticus (strain ATCC 700980 / DSM 13731 / RS-1),"Solidesulfovibrio, Desulfovibrionaceae, Desulfovibrionales, Deltaproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms"
Lentilactobacillus buchneri (strain NRRL B-30929),"Lentilactobacillus, Lactobacillaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Equine herpesvirus 1 (strain Ab4p),"Equid alphaherpesvirus 1, Varicellovirus, Alphaherpesvirinae, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae, Duplodnaviria, Viruses"
Dothistroma septosporum (strain NZE10 / CBS 128990),"Dothistroma, Mycosphaerellaceae, Mycosphaerellales, Dothideomycetidae, Dothideomycetes, dothideomyceta, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Lacticaseibacillus casei (strain LC2W),"Lactobacillus casei, Lacticaseibacillus, Lactobacillaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Lactococcus lactis subsp. cremoris,"Lactococcus, Streptococcaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513),"Legionella pneumophila, Legionella, Legionellaceae, Legionellales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Phoma sp. (strain ATCC 20986 / MF5453),"unclassified Phoma, Phoma, Didymellaceae, Pleosporineae, Pleosporales, Pleosporomycetidae, Dothideomycetes, dothideomyceta, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Desulfovibrio vulgaris subsp. vulgaris (strain DP4),"Desulfovibrio vulgaris, Desulfovibrio, Desulfovibrionaceae, Desulfovibrionales, Deltaproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms"
Ruegeria pomeroyi (strain ATCC 700808 / DSM 15171 / DSS-3),"Ruegeria, Roseobacteraceae, Rhodobacterales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Halothiobacillus neapolitanus (strain ATCC 23641 / c2),"Halothiobacillus, Halothiobacillaceae, Chromatiales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Rhizobium meliloti,"Sinorhizobium, Sinorhizobium/Ensifer group, Rhizobiaceae, Hyphomicrobiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770),"Sulfolobus, Sulfolobaceae, Sulfolobales, Thermoprotei, Crenarchaeota, TACK group, Archaea, cellular organisms"
Schistosoma mansoni,"Schistosoma, Schistosomatidae, Schistosomatoidea, Strigeidida, Digenea, Trematoda, Platyhelminthes, Lophotrochozoa, Spiralia, Protostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Polaromonas sp. (strain JS666 / ATCC BAA-500),"environmental samples, Polaromonas, Comamonadaceae, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Mycolicibacterium smegmatis (strain MKD8),"Mycolicibacterium, Mycobacteriaceae, Corynebacteriales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms"
Branchiostoma floridae,"Branchiostoma, Branchiostomidae, Amphioxiformes, Leptocardii, Cephalochordata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Protochlamydia amoebophila (strain UWE25),"Candidatus Protochlamydia amoebophila, Candidatus Protochlamydia, Parachlamydiaceae, Parachlamydiales, Chlamydiia, Chlamydiae, PVC group, Bacteria, cellular organisms"
Bigelowiella natans,"Bigelowiella, Chlorarachniophyceae, Cercozoa, Rhizaria, Sar, Eukaryota, cellular organisms"
Fusarium heterosporum,"Fusarium heterosporum species complex, Fusarium, Nectriaceae, Hypocreales, Hypocreomycetidae, Sordariomycetes, sordariomyceta, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Pseudomonas sp. (strain NS671),"unclassified Pseudomonas, Pseudomonas, Pseudomonadaceae, Pseudomonadales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Phaeosphaeria nodorum (strain SN15 / ATCC MYA-4574 / FGSC 10173),"Parastagonospora, Phaeosphaeriaceae, Pleosporineae, Pleosporales, Pleosporomycetidae, Dothideomycetes, dothideomyceta, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Rhodoferax ferrireducens (strain ATCC BAA-621 / DSM 15236 / T118),"Rhodoferax, Comamonadaceae, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Trichodesmium erythraeum (strain IMS101),"Trichodesmium, Microcoleaceae, Oscillatoriales, Oscillatoriophycideae, Cyanobacteria, Cyanobacteria/Melainabacteria group, Terrabacteria group, Bacteria, cellular organisms"
Coffea arabica,"Coffea, Coffeeae, Bertiereae - Coffeeae clade, Gardenieae complex, Ixoroideae, Rubiaceae, Gentianales, lamiids, asterids, Pentapetalae, Gunneridae, eudicotyledons, Mesangiospermae, Magnoliopsida, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Petunia integrifolia,"Petunia, Petunioideae, Solanaceae, Solanales, lamiids, asterids, Pentapetalae, Gunneridae, eudicotyledons, Mesangiospermae, Magnoliopsida, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Bartonella henselae (strain ATCC 49882 / DSM 28221 / Houston 1),"Bartonella, Bartonellaceae, Hyphomicrobiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Alternaria brassicicola,"Alternaria sect. Brassicicola, Alternaria, Pleosporaceae, Pleosporineae, Pleosporales, Pleosporomycetidae, Dothideomycetes, dothideomyceta, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Lettuce necrotic yellows virus (isolate 318),"Lettuce necrotic yellows cytorhabdovirus, Cytorhabdovirus, Betarhabdovirinae, Rhabdoviridae, Mononegavirales, Monjiviricetes, Haploviricotina, Negarnaviricota, Orthornavirae, Riboviria, Viruses"
Lactobacillus acidophilus,"Lactobacillus, Lactobacillaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Clostridium perfringens (strain 13 / Type A),"Clostridium, Clostridiaceae, Eubacteriales, Clostridia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Spiroplasma virus SpV1-C74,"Spiroplasma virus C74, Vespertiliovirus, Plectroviridae, Tubulavirales, Faserviricetes, Hofneiviricota, Loebvirae, Monodnaviria, Viruses"
Vibrio alginolyticus,"Vibrio harveyi group, Vibrio, Vibrionaceae, Vibrionales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Mycobacterium marinum (strain ATCC BAA-535 / M),"Mycobacterium, Mycobacteriaceae, Corynebacteriales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms"
Paracoccus pantotrophus,"Paracoccus, Rhodobacteraceae, Rhodobacterales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Vaccinia virus (strain Copenhagen),"Orthopoxvirus, Chordopoxvirinae, Poxviridae, Chitovirales, Pokkesviricetes, Nucleocytoviricota, Bamfordvirae, Varidnaviria, Viruses"
Claviceps purpurea,"Claviceps, Clavicipitaceae, Hypocreales, Hypocreomycetidae, Sordariomycetes, sordariomyceta, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Plasmodium falciparum (isolate NF54),"Plasmodium (Laverania), Plasmodium, Plasmodiidae, Haemosporida, Aconoidasida, Apicomplexa, Alveolata, Sar, Eukaryota, cellular organisms"
Escherichia coli O139:H28 (strain E24377A / ETEC),"Escherichia coli O139:H28, Escherichia coli, Escherichia, Enterobacteriaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Pasteurella multocida (strain Pm70),"Pasteurella, Pasteurellaceae, Pasteurellales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Psittacid herpesvirus 1 (isolate Amazon parrot/-/97-0001/1997),"Psittacid alphaherpesvirus 1, Iltovirus, Alphaherpesvirinae, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae, Duplodnaviria, Viruses"
Rhodospirillum centenum (strain ATCC 51521 / SW),"Rhodospirillum, Rhodospirillaceae, Rhodospirillales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Cyanophora paradoxa,"Cyanophora, Cyanophoraceae, Glaucocystophyceae, Eukaryota, cellular organisms"
Ralstonia solanacearum,"Ralstonia, Burkholderiaceae, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Rhizopus delemar (strain RA 99-880 / ATCC MYA-4621 / FGSC 9543 / NRRL 43880),"Rhizopus delemar, Rhizopus, Rhizopodaceae, Mucorineae, Mucorales, Mucoromycetes, Mucoromycotina, Mucoromycota, Fungi incertae sedis, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Leuconostoc mesenteroides subsp. mesenteroides (strain ATCC 8293 / DSM 20343 / BCRC 11652 / CCM 1803 / JCM 6124 / NCDO 523 / NBRC 100496 / NCIMB 8023 / NCTC 12954 / NRRL B-1118 / 37Y),"Leuconostoc mesenteroides, Leuconostoc, Lactobacillaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1),"Lactiplantibacillus, Lactobacillaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Desulfovibrio vulgaris (strain DSM 19637 / Miyazaki F),"Desulfovibrio, Desulfovibrionaceae, Desulfovibrionales, Deltaproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms"
Streptomyces rimosus,"Streptomyces, Streptomycetaceae, Streptomycetales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms"
Neosartorya fumigata,"Neosartorya fumigata, Aspergillus subgen. Fumigati, Aspergillus, Aspergillaceae, Eurotiales, Eurotiomycetidae, Eurotiomycetes, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
